word	defn	main_meaning	other meaning
电影	 電影	 điện ảnh	 điện ảnh/phim/chiếu bóng
上海	 上海	 thượng hải	 Thượng Hải/thành phố Thượng Hải
城市	 城市	 thành thị	 thành thị/đô thị/thành phố
使用	 使用	 sử dụng	 sử dụng/dùng
发表	 發表	 phát biểu	 phát biểu/tuyên bố/công bố/nói/đăng/đăng tải
甚至	 甚至	 thậm chí	 thậm chí/ngay cả/đến nỗi
准备	 準備	 chuẩn bị	 chuẩn bị/dự định/định/định bụng
先生	 先生	 tiên sinh	 tiên sinh/thầy/thầy giáo/ngài/chồng/thầy thuốc/ông lang/thầy ký/tài phú/thầy bói
结果	 結果	 kết quả	 kết quả/ra quả/ra trái/rút cuộc/thành quả/hậu quả/tác động/kết liễu/giết/xử
管理	 管理	 quản lí/quản lý	 quản lý/phụ trách/trông nom/bảo quản và sắp xếp/trông coi
突然	 突然	 đột nhiên	 đột nhiên/bỗng nhiên/bất thình lình/chợt
选择	 選擇	 tuyển trạch	 lựa chọn/tuyển trạch/tuyển chọn
回复	 回復	 hồi phục	 hồi phục/trả lời/phúc đáp/hồi âm/phục hồi/khôi phục
父亲	 父親	 phụ thân	 phụ thân/bố/cha/ba
声音	 聲音	 thanh âm	 thanh âm/âm thanh/tiếng tăm/tiếng động
内容	 內容	 nội dung	 nội dung
完全	 完全	 hoàn toàn	 hoàn toàn/đầy đủ/trọn vẹn
文章	 文章	 văn chương	 văn vẻ/văn chương/bài văn/bài báo/tác phẩm/ẩn ý/ngụ ý/biện pháp/cách làm
人员	 人員	 nhân viên	 nhân viên/công chức
参加	 參加	 tham gia	 tham gia/gia nhập/tham dự/dự/đề xuất/đưa ra/cho/góp
历史	 歷史	 lịch sử	 lịch sử/trong lịch sử/ghi chép những sự việc đã qua/môn lịch sử/lịch sử học
母亲	 母親	 mẫu thân	 mẫu thân/mẹ/má/me/u
技术	 技術	 kĩ thuật/kỹ thuật	 kỹ thuật/trang bị kỹ thuật/trang thiết bị
继续	 繼續	 kế tục	 tiếp tục/kế tục/kéo dài/kế thừa/tiếp nối
影响	 影響	 ảnh hưởng	 ảnh hưởng/bị ảnh hưởng/chịu ảnh hưởng/vô căn cứ/đồn đại
服务	 服務	 phục vụ	 phục vụ/phụng sự
决定	 決定	 quyết định	 quyết định/định đoạt/việc quyết định/tác dụng chủ đạo
方式	 方式	 phương thức	 phương thức/cách thức/cách/kiểu
表示	 表示	 biểu thị	 tỏ vẻ/biểu thị/bày tỏ/tỏ ý/ngỏ lời/có ý nghĩa/biểu hiện/chứng tỏ/dấu hiệu/tỏ
原来	 原來	 nguyên lai	 nguyên lai/ban sơ/lúc đầu/vốn/vốn dĩ/té ra/hoá ra/thì ra
国际	 國際	 quốc tế	 quốc tế
无法	 無法	 vô pháp	 không thể/vô pháp/không cách nào/vô phương/vô kế/không có cách gì/không còn cách nào
专业	 專業	 chuyên nghiệp	 chuyên nghiệp/môn/bộ môn/chuyên ngành
包括	 包括	 bao quát	 chính là/bao quát/bao gồm/gồm/có/gồm có/tính đến/kể cả/chất chứa
离开	 離開	 li khai/ly khai	 rời đi/ly khai/rời khỏi/tách khỏi
介绍	 介紹	 giới thiệu	 giới thiệu/mở đầu/đưa vào/truyền vào/hiểu rõ/nắm được/rành/quen thuộc/nắm rành
认识	 認識	 nhận thức	 nhận thức/biết/nhận biết
爸爸	 爸爸	 ba ba	 ba ba
精神	 精神	 tinh thần	 tinh thần/nghị lực/sinh lực/tôn chỉ/ý nghĩa chủ yếu/sức sống/hoạt bát/sôi nổi/nhanh nhẹn/linh lợi
不好	 不好	 bất hảo	 không tốt/bất hảo
组织	 組織	 tổ chức	 tổ chức/hệ thống/quan hệ phối hợp/kiểu sợi/hệ/bộ phận
音乐	 音樂	 âm nhạc	 âm nhạc
能力	 能力	 năng lực	 năng lực/khả năng
机会	 機會	 cơ hội	 cơ hội/dịp/thời cơ
注意	 注意	 chú ý	 chú ý
方法	 方法	 phương pháp	 phương pháp/cách/cách thức
联系	 聯繫	 liên hệ	 liên hệ/liên lạc/gắn liền
原因	 原因	 nguyên nhân	 nguyên nhân
明白	 明白	 minh bạch	 hiểu được/minh bạch/hiểu/rõ ràng/dễ hiểu/công khai/nói thẳng/thông minh/hiểu biết/khôn ngoan/biết lẽ phải/biết
产品	 產品	 sản phẩm	 sản phẩm
真正	 真正	 chân chính	 chân chính/chính thức/thật sự/chính xác/xác thực
过程	 過程	 quá trình	 quá trình
自然	 自然	 tự nhiên	 tự nhiên/thiên nhiên/giới tự nhiên/tự do phát triển/đương nhiên/hiển nhiên
经过	 經過	 kinh qua	 trải qua/kinh qua/đi qua/qua/đã được/quá trình/tiến trình/dòng
政府	 政府	 chính phủ	 chính phủ/chính quyền/nhà nước
身体	 身體	 thân thể	 thân thể/cơ thể
环境	 環境	 hoàn cảnh	 hoàn cảnh/môi trường/cảnh vật chung quanh/điều kiện
衣服	 衣服	 y phục	 quần áo/y phục
台湾	 臺灣	 đài loan	 Đài Loan/Taiwan
人民	 人民	 nhân dân	 nhân dân/đồng bào
成功	 成功	 thành công	 thành công/thịnh vượng
系统	 系統	 hệ thống	 hệ thống/có hệ thống/có quy củ/có ngăn nắp
直接	 直接	 trực tiếp	 trực tiếp/thẳng
解决	 解決	 giải quyết	 giải quyết/dàn xếp/tháo gỡ/thu xếp/tiêu diệt/thủ tiêu
根本	 根本	 căn bản	 căn bản/gốc rễ/cội nguồn/hoàn toàn/triệt để/chủ yếu/trọng yếu/từ trước đến giờ/trước giờ/vốn/xưa nay/trước sau/từ đầu đến cuối/tuyệt nhiên/không hề/tận gốc
父母	 父母	 phụ mẫu	 cha mẹ/phụ mẫu/ba má
肯定	 肯定	 khẳng định	 khẳng định/dám chắc/quả quyết/thừa nhận/chấp nhận/đúng/tán thành/nhất định/không nghi ngờ/chắc chắn/xác định/rõ ràng
作品	 作品	 tác phẩm	 tác phẩm
全国	 全國	 toàn quốc	 cả nước/toàn quốc/bảo toàn lãnh thổ/toàn vẹn lãnh thổ
国内	 國內	 quốc nội	 quốc nội/trong nước
设计	 設計	 thiết kế	 thiết kế/trù tính
政治	 政治	 chính trị	 chính trị
才能	 才能	 tài năng	 mới có thể/tài năng/năng lực/khả năng/tài cán
存在	 存在	 tồn tại	 tồn tại/còn/có thật/thực sự/đã sống/vật chất/sự sống/sự tồn tại/sinh kế
第三	 第三	 đệ tam	 đệ tam/thứ ba
根据	 根據	 căn cứ	 căn cứ/căn cứ vào/dựa vào/chứng cứ/luận cứ
女儿	 女兒	 nữ nhi/nữ nhân	 nữ nhân/nữ nhi/con gái
左右	 左右	 tả hữu	 tả hữu/hai bên/trái và phải/xung quanh/tuỳ tùng/người đi theo/chi phối/thao túng/khoảng/chừng/vào khoảng/trên dưới/dù sao cũng/dù sao đi nữa
生命	 生命	 sinh mệnh	 sinh mệnh/tính mệnh/mạng sống
代表	 代表	 đại biểu	 đại biểu/đại diện/tiêu biểu/thay mặt
价格	 價格	 giới cách	 giá cả/giới cách/giá
高兴	 高興	 cao hứng	 cao hứng/vui vẻ/vui mừng/phấn chấn/thích
永远	 永遠	 vĩnh viễn	 vĩnh viễn/mãi mãi/luôn
知识	 知識	 tri thức	 tri thức/kiến thức/sự hiểu biết/trí thức
医院	 醫院	 y viện	 bệnh viện/y viện/nhà thương
思想	 思想	 tư tưởng	 tư tưởng/ý nghĩ/suy nghĩ
相关	 相關	 tương quan	 tương quan/liên quan
理解	 理解	 lí giải/lý giải	 lý giải/hiểu/đã thông
教师	 教師	 giáo sư	 giáo sư/giáo viên
安全	 安全	 an toàn	 an toàn
全部	 全部	 toàn bộ	 toàn bộ/tất cả
自由	 自由	 tự do	 tự do
努力	 努力	 nỗ lực	 cố gắng/nỗ lực/gắng sức
家庭	 家庭	 gia đình	 gia đình
部分	 部分	 bộ phận	 bộ phận/phần/tập/khu/phần chia/một số cá thể
表现	 表現	 biểu hiện	 biểu hiện/thể hiện/phô bày/tỏ ra/xử sự/cách ăn ở/cư xử/đối xử
规定	 規定	 quy định	 quy định/nội dung đã định
意思	 意思	 ý tứ	 ý tứ/ỵ́/ý nghĩa/ý kiến/nguyện vọng/tấm lòng/thơm thảo/khao/thưởng cho/chiều hướng/xu hướng/thú vị/hứng thú
提高	 提高	 đề cao	 đề cao/nâng cao
时代	 時代	 thời đại	 thời đại/thời kì/lúc/độ tuổi
完成	 完成	 hoàn thành	 hoàn thành
计划	 計劃	 kế hoạch	 kế hoạch/lập kế hoạch/tính toán/vạch kế hoạch
游戏	 遊戲	 du hí/du hý	 trò chơi/du hý/vui chơi/nô đùa/chơi đùa
基本	 基本	 cơ bản	 cơ bản/căn bản/nền tảng/chính/chủ yếu/cốt lõi/đại thể
爱情	 愛情	 ái tình	 tình yêu/ái tình
年代	 年代	 niên đại	 niên đại/thời đại/thời kỳ/những năm tháng/thập kỷ/những năm
英国	 英國	 anh quốc	 Anh quốc/Anh/Anh Cát Lợi/Anh Quốc/United Kingdom
结束	 結束	 kết thúc	 chấm dứt/kết thúc/hết/kết liễu/thắt/tết/trang điểm
标准	 標準	 tiêu chuẩn	 tiêu chuẩn/mẫu mực/đúng chuẩn/chuẩn mực/chuẩn/mực thước
资料	 資料	 tư liệu	 tư liệu/tài liệu
艺术	 藝術	 nghệ thuật	 nghệ thuật/hình dáng độc đáo mỹ quan
项目	 項目	 hạng mục	 hạng mục/mục
条件	 條件	 điều kiện	 điều kiện/đòi hỏi/tình trạng/tình hình
建设	 建設	 kiến thiết	 kiến thiết/xây dựng/xây cất/lập nên
行为	 行為	 hành vi	 hành vi/hành động
办法	 辦法	 biện pháp	 biện pháp/phương pháp/cách làm
法律	 法律	 pháp luật	 pháp luật/luật
建议	 建議	 kiến nghị	 đề nghị/kiến nghị/đề xuất/đưa ra/sáng kiến
比如	 比如	 tỉ như	 tỷ như/ví dụ như/thí dụ/như/chẳng hạn như
幸福	 幸福	 hạnh phúc	 hạnh phúc/vừa lòng đẹp ý
产生	 產生	 sản sinh	 sinh ra/sản sinh/nảy sinh/xuất hiện
部门	 部門	 bộ môn	 nghành/bộ môn/ngành/khâu/chi/nhánh
德国	 德國	 đức quốc	 Đức/Đức quốc/Nhật Nhĩ Man/Cộng hoà liên bang Đức/Germany
广告	 廣告	 quảng cáo	 quảng cáo
说明	 說明	 thuyết minh	 thuyết minh/nói rõ/rằng/giải thích rõ/lời giải thích/lời thuyết minh/chứng minh
安排	 安排	 an bài	 an bài/sắp đặt/sắp xếp/bố trí/thu xếp/cách bố trí/sự trình bày/sự sắp đặt/sơ đồ bố trí/ma-két/dạng thức
小说	 小說	 tiểu thuyết	 tiểu thuyết
世纪	 世紀	 thế kỉ/thế kỷ	 thế kỷ/một trăm năm
人生	 人生	 nhân sinh	 nhân sinh/đời người
大概	 大概	 đại khái	 đại khái/nét chính/sơ lược/sơ sơ/chung chung/có thể/có lẽ/khoảng
警察	 警察	 cảnh sát	 cảnh sát
同样	 同樣	 đồng dạng	 đồng dạng/giống nhau/như nhau/cũng
中心	 中心	 trung tâm	 trung tâm/giữa/ở giữa/giữa ruột
调查	 調查	 điều tra	 điều tra/xem xét/kiểm tra/khảo sát
经验	 經驗	 kinh nghiệm	 kinh nghiệm/trải qua/gặp qua
小姐	 小姐	 tiểu thư	 tiểu thư/cô
改变	 改變	 cải biến	 thay đổi/cải biến/cải biên/biến đổi/biến động/đổi
习惯	 習慣	 tập quán	 thói quen/tập quán/quen nếp
传统	 傳統	 truyền thống	 truyền thống/phong tục được lưu truyền
心情	 心情	 tâm tình	 tâm tình/trong lòng
科学	 科學	 khoa học	 khoa học/ngành nghiên cứu/ngành học/có tính khoa học/có kỹ thuật/kỹ thuật cao
合作	 合作	 hợp tác	 hợp tác
专家	 專家	 chuyên gia	 chuyên gia/chuyên viên/nhà chuyên môn
变化	 變化	 biến hóa	 biến hóa/biến hoá/biến đổi/thay đổi
解释	 解釋	 giải thích	 giải thích/giảng giải/giải nghĩa/nói rõ hàm ý/nói rõ nguyên nhân/nói rõ lí do
利用	 利用	 lợi dụng	 lợi dụng/sử dụng/dùng
报告	 報告	 báo cáo	 báo cáo/bản báo cáo/bản phát biểu
建筑	 建築	 kiến trúc	 kiến trúc/xây dựng/xây/gầy dựng/vật kiến trúc/công trình kiến trúc/toà nhà/công trình
分析	 分析	 phân tích	 phân tích
美丽	 美麗	 mỹ lệ	 xinh đẹp/mỹ lệ/đẹp
处理	 處理	 xử lí/xử lý	 xử lý/sắp xếp/giải quyết/xoay xở/khắc phục/an bài/hàng thanh lí/hàng giảm giá/xử trí/cư xử/đối đãi/soạn thảo
投资	 投資	 đầu tư	 đầu tư/bỏ vốn/đầu tư vốn/vốn đầu tư/tiền bỏ ra/tiền vốn
意义	 意義	 ý nghĩa	 ý nghĩa/tầm quan trọng/giá trị/tác dụng
成绩	 成績	 thành tích	 thành tích/thành tựu/đạt được/hoàn thành
文学	 文學	 văn học	 văn học/học vấn/tri thức/kiến thức
讨论	 討論	 thảo luận	 thảo luận/bàn bạc
对方	 對方	 đối phương	 đối phương/phía bên kia
感情	 感情	 cảm tình	 cảm tình/lòng yêu mến/tình cảm yêu mến/tình cảm
改革	 改革	 cải cách	 cải cách/cải tiến/đổi mới/cách tân
事件	 事件	 sự kiện	 sự kiện
姐姐	 姐姐	 tỷ tỷ	 tỷ tỷ/chị gái/chị họ
生产	 生產	 sinh sản	 sinh sản/ sản xuất/sản xuất/sanh con/sinh con
目标	 目標	 mục tiêu	 mục tiêu/đạt mục tiêu
免费	 免費	 miễn phí	 miễn phí/không lấy tiền/không mất tiền
政策	 政策	 chính sách	 chính sách
文字	 文字	 văn tự	 văn tự/chữ nghĩa/chữ viết/chữ/văn/hành văn/lời văn
造成	 造成	 tạo thành	 tạo thành
作用	 作用	 tác dụng	 tác dụng/ảnh hưởng/hiệu quả/hiệu dụng/dụng ý
心理	" 心理	 tâm lí/tâm lý	 tâm lý/lòng/chỉ hoạt động tư tưởng, tình cảm của con người	 #519	 f: 103.04"	ｘｉｎ１心ｌｉ３理	
坚持	 堅持	 kiên trì	 kiên trì/giữ vững/khăng khăng giữ
正是	 正是	 chính thị	 đúng là/chính thị/vậy
加入	 加入	 gia nhập	 gia nhập/thêm vào/thêm/tham gia/gia nhập vào
不可	 不可	 bất khả	 không thể/bất khả/không được/không sao/không thể ... được/không ... không được/không thể không
大陆	 大陸	 đại lục	 đại lục/lục địa/Trung quốc
会议	 會議	 hội nghị	 hội nghị/hội đồng
交流	 交流	 giao lưu	 trao đổi/giao lưu
目的	 目的	 mục đích	 mục đích
民族	 民族	 dân tộc	 dân tộc/tộc người
保护	 保護	 bảo hộ	 bảo hộ/bảo vệ/giữ gìn
妻子	 妻子	 thê tử	 thê tử/vợ con/vợ/bà xã
同志	 同志	 đồng chí	 đồng chí
控制	 控制	 khống chế	 khống chế/kiểm soát/chế ngự/kiềm chế
结婚	 結婚	 kết hôn	 kết hôn/đám cưới/lấy nhau/cưới xin/hôn nhân/lễ cưới/sự kết hợp
地址	 地址	 địa chỉ	 địa chỉ/chỗ ở
保持	 保持	 bảo trì	 bảo trì/gìn giữ/giữ/duy trì/giữ nguyên/giữ giàng
形成	 形成	 hình thành	 hình thành
严重	 嚴重	 nghiêm trọng	 nghiêm trọng
现代	 現代	 hiện đại	 hiện đại/thời đại hiện nay/thời đại ngày nay/thời đại xã hội chủ nghĩa
欢迎	 歡迎	 hoan nghênh	 hoan nghênh/chào đón/đón chào/chào mừng
绝对	 絕對	 tuyệt đối	 tuyệt đối/hoàn toàn/nhất định/toàn bộ/dứt khoát/cực kỳ/cùng cực/nhất/cực/tuyệt
青年	 青年	 thanh niên	 thanh niên/tuổi trẻ/tuổi xuân
具体	 具體	 cụ thể	 cụ thể/rõ ràng/rõ rệt/tỉ mỉ/xác định rõ ràng/một cách cụ thể/cụ thể tới
翻译	 翻譯	 phiên dịch	 phiên dịch/dịch/người dịch/phiên dịch viên
人物	 人物	 nhân vật	 nhân vật
编辑	 編輯	 biên tập	 biên tập/chỉnh lý/biên soạn/biên tập viên/người biên soạn/trình biên dịch
方向	 方向	 phương hướng	 phương hướng/hướng/phương/hướng đi/phía/mục tiêu
人类	 人類	 nhân loại	 nhân loại/loài người
基础	 基礎	 cơ sở	 trụ cột/cơ sở/nền móng/nền tảng/căn bản/cơ sở thượng tầng
意见	 意見	 ý kiến	 ý kiến
附近	 附近	 phụ cận	 phụ cận/lân cận/vùng phụ cận/vùng lân cận/gần đây
常常	 常常	 thường thường	 thường thường/thường/luôn
丈夫	 丈夫	 trượng phu	 trượng phu/đàn ông/con trai/chồng
制度	 制度	 chế độ	 chế độ/quy chế/quy định/thể lệ nhất định cho kẻ làm việc theo
力量	 力量	 lực lượng	 lực lượng/sức lực/sức mạnh/năng lực/khả năng/tác dụng/hiệu lực
状态	 狀態	 trạng thái	 trạng thái/tình trạng
检查	 檢查	 kiểm tra	 kiểm tra/kiểm soát/khám/tra cứu/tìm/tra xét/điều tra/kiểm thảo/kiểm điểm
工程	 工程	 công trình	 công trình
负责	 負責	 phụ trách	 phụ trách/chịu trách nhiệm/có trách nhiệm
证明	 證明	 chứng minh	 chứng minh/chứng nhận/chứng tỏ/giấy chứng nhận/chứng minh thư
节目	 節目	 tiết mục	 tiết mục/chương trình
姑娘	 姑孃	 cô nương	 cô nương/cô nàng
行动	 行動	 hành động	 hành động/đi lại/đi đi lại lại/hành vi/cử động
功能	 功能	 công năng	 công năng/công hiệu/tác dụng/chức năng
程度	 程度	 trình độ	 trình độ/mức độ/loại/cấp/mức/nỗi/đỗi
收入	 收入	 thu nhập	 thu vào/thu nhập/thu
痛苦	 痛苦	 thống khổ	 thống khổ/đau khổ/đau đớn
感受	 感受	 cảm thụ	 cảm thụ/bị/tiếp thu/nhận/cảm nhận/thể hội
价值	 價值	 giá trị	 giá trị/giá trị tích cực/giá trị cao/tốt
哥哥	 哥哥	 ca ca	 ca ca/anh/anh trai/anh họ
态度	 態度	 thái độ	 thái độ
时期	 時期	 thời kỳ	 thời kì/thời kỳ
银行	 銀行	 ngân hàng	 ngân hàng
农民	 農民	 nông dân	 nông dân
女生	 女生	 nữ sinh	 nữ sinh/học sinh nữ
举行	 舉行	 cử hành	 cử hành/tiến hành/tổ chức
位置	 位置	 vị trí	 vị trí/chỗ/địa vị
相当	 相當	 tương đương	 tương đương/ngang nhau/thích hợp/tương xứng/tương đối/khá
紧张	 緊張	 khẩn trương	 khẩn trương/hồi hộp/căng thẳng/eo hẹp/túng thiếu
有限	 有限	 hữu hạn	 hữu hạn/có hạn/không nhiều/không cao
大法	 大法	 đại pháp	 đại pháp/hiến pháp/pháp luật/phép tắc/pháp lệnh
电子	 電子	 điện tử	 điện tử
交通	 交通	 giao thông	 giao thông/thông nhau/giao thông và bưu điện/thông tin liên lạc/liên lạc viên/kết giao/cấu kết/thông đồng
文件	 文件	 văn kiện	 văn kiện/tài liệu
普通	 普通	 phổ thông	 bình thường/phổ thông/nói chung/thông thường
形式	 形式	 hình thức	 hình thức
空间	 空間	 không gian	 không gian
运动	 運動	 vận động	 vận động/chuyển động/hoạt động thể thao/cuộc vận động/phong trào/chạy chọt/chạy vạy
广场	 廣場	 quảng trường	 quảng trường/sân rộng
效果	 效果	 hiệu quả	 hiệu quả
质量	 質量	 chất lượng	 chất lượng/khối lượng/chất
材料	 材料	 tài liệu	 tài liệu/vật liệu/tư liệu/tư liệu tham khảo/vốn quý/nhân tài
唯一	 唯一	 duy nhất	 duy nhất
奇怪	 奇怪	 kì quái/kỳ quái	 kỳ quái/kỳ lạ/quái lạ/lạ lùng/quái gở/ngoài dự tính/khó hiểu
现场	" 現場	 hiện trường	 hiện trường/nơi trực tiếp sản xuất, làm việc, thực nghiệm	 #686	 f: 82.36"	ｘｉａｎ４现ｃｈａｎｇ２场	
战争	 戰爭	 chiến tranh	 chiến tranh
中间	 中間	 trung gian	 trung gian/giữa/ở giữa/bên trong/trung tâm/chính giữa
正式	 正式	 chính thức	 chính thức
经营	 經營	 kinh doanh	 kinh doanh/tổ chức/làm/tiến hành
保证	 保證	 bảo chứng	 cam đoan/bảo chứng/bảo đảm/bảo lãnh/bảo hành/vật bảo đảm/sự bảo đảm/vật làm tin/vật thế chấp
表达	 表達	 biểu đạt	 biểu đạt/bày tỏ/giãi bày/nói lên
现象	 現象	 hiện tượng	 hiện tượng
妹妹	 妹妹	 muội muội	 muội muội/em gái/em gái họ/biểu muội
大量	 大量	 đại lượng	 đại lượng/nhiều/lớn/hàng loạt/độ lượng/rộng lượng
同意	 同意	 đồng ý	 đồng ý/bằng lòng/tán thành
仿佛	 仿佛	 phảng phất	 giống như/phảng phất/dường như/hình như/giống/như
理论	 理論	 lí luận/lý luận	 lý luận/lý thuyết/tranh luận phải trái/tranh luận
杂志	 雜誌	 tạp chí	 tạp chí/tập san/ghi chép vặt vãnh/ghi chép vụn vặt
共同	 共同	 cộng đồng	 cộng đồng/chung/cùng
广州	 廣州	 quảng châu	 Quảng Châu
工人	 工人	 công nhân	 công nhân/thợ/thợ thuyền
记忆	 記憶	 kí ức/ký ức	 trí nhớ/ký ức/nhớ/nhớ lại/hồi tưởng
享受	 享受	 hưởng thụ	 hưởng thụ
主题	 主題	 chủ đề	 chủ đề/nội dung chính/nội dung chủ yếu
太阳	 太陽	 thái dương	 thái dương/mặt trời/vầng thái dương/ánh sáng mặt trời/ánh nắng/màng tang/huyệt thái dương
飞机	 飛機	 phi cơ	 phi cơ/máy bay/trực thăng
印象	 印象	 ấn tượng	 ấn tượng/hình ảnh
兄弟	 兄弟	 huynh đệ	 huynh đệ/anh và em/em trai/chú em/cậu em/người anh em/anh em
培养	 培養	 bồi dưỡng	 bồi dưỡng/đào tạo/nuôi cấy/gây/gây dựng
训练	 訓練	 huấn luyện	 huấn luyện
